Simbolo;Probabilidade;
230;0.004048458825333538;
110;0.004201809538414354;
231;0.004068905587077646;
111;0.003711087256555743;
232;0.003711087256555743;
112;0.00409957572969381;
233;0.0040382354444614835;
113;0.004917446199458161;
234;0.00468230843940091;
114;0.0039666717783571025;
235;0.0035372897817308184;
115;0.004457394060215713;
236;0.004304043347134898;
116;0.003659970352195471;
237;0.003741757399171906;
117;0.004508510964575985;
238;0.004058682206205593;
118;0.004232479681030517;
239;0.0036804171139395796;
119;0.00426314982364668;
10;0.0033941624495220568;
11;0.0039155548739968305;
12;0.0034861728773705465;
13;0.004079128967949701;
14;0.004631191535040638;
15;0.003956448397485048;
16;0.004150692634054082;
17;0.003956448397485048;
18;0.0033839390686500027;
19;0.003997341920973266;
240;0.003946225016612994;
120;0.0039053314931247764;
241;0.0038133210652762867;
0;0.0056841997648622395;
121;0.0039053314931247764;
242;0.0037008638756836887;
1;0.004610744773296529;
122;0.0038848847313806677;
243;0.0035372897817308184;
2;0.0038848847313806677;
123;0.004549404488064203;
244;0.0032203649746971323;
3;0.0044062771558554415;
124;0.0036804171139395796;
245;0.00417113939579819;
4;0.003874661350508613;
125;0.0038235444461483413;
246;0.003741757399171906;
5;0.0038133210652762867;
126;0.003792874303532178;
247;0.0036395235904513623;
6;0.003475949496498492;
127;0.0033532689260338394;
248;0.00409957572969381;
7;0.004181362776670245;
128;0.004467617441087768;
249;0.0033021520216735675;
8;0.0038235444461483413;
129;0.004079128967949701;
9;0.003322598783417676;
20;0.0038030976844042326;
21;0.0037213106374277974;
22;0.003527066400858764;
23;0.003608853447835199;
24;0.0030772376424883707;
25;0.0035372897817308184;
26;0.003792874303532178;
27;0.004252926442774626;
28;0.004467617441087768;
29;0.004232479681030517;
250;0.0034350559730102746;
130;0.0036804171139395796;
251;0.003782650922660124;
131;0.0033839390686500027;
252;0.0034350559730102746;
132;0.0035168430199867097;
253;0.0036190768287072536;
133;0.003598630066963145;
254;0.0035679599243469817;
134;0.003527066400858764;
255;0.0035168430199867097;
135;0.003465726115626438;
136;0.003895108112252722;
137;0.004048458825333538;
138;0.0037724275417880693;
139;0.0036190768287072536;
30;0.003711087256555743;
31;0.0036701937330675255;
32;0.004140469253182027;
33;0.003322598783417676;
34;0.0037519807800439607;
35;0.004252926442774626;
36;0.003189694832080969;
37;0.003281705259929459;
38;0.003291928640801513;
39;0.004191586157542299;
140;0.003475949496498492;
141;0.004191586157542299;
142;0.004866329295097889;
143;0.0036395235904513623;
144;0.004017788682717374;
145;0.003987118540101212;
146;0.003230588355569187;
147;0.0035781833052190358;
148;0.003527066400858764;
149;0.003659970352195471;
40;0.0035168430199867097;
41;0.00417113939579819;
42;0.0039155548739968305;
43;0.0038644379696365586;
44;0.004028012063589429;
45;0.003895108112252722;
46;0.0038848847313806677;
47;0.003762204160916015;
48;0.0031181311659765885;
49;0.0029034401676634462;
150;0.00393600163574094;
151;0.0037724275417880693;
152;0.003230588355569187;
153;0.003874661350508613;
154;0.0038542145887645045;
155;0.004467617441087768;
156;0.004457394060215713;
157;0.004089352348821755;
158;0.0038030976844042326;
159;0.0036395235904513623;
50;0.0035168430199867097;
51;0.00384399120789245;
52;0.004068905587077646;
53;0.00384399120789245;
54;0.004436947298471604;
55;0.004150692634054082;
56;0.00475387210550529;
57;0.004252926442774626;
58;0.0038848847313806677;
59;0.0045289577263200945;
160;0.003741757399171906;
161;0.0035168430199867097;
162;0.003465726115626438;
163;0.00384399120789245;
164;0.0038133210652762867;
165;0.004089352348821755;
166;0.004028012063589429;
167;0.003690640494811634;
168;0.003598630066963145;
169;0.004457394060215713;
60;0.004181362776670245;
61;0.004058682206205593;
62;0.0038030976844042326;
63;0.003925778254868885;
64;0.004130245872309973;
65;0.0036804171139395796;
66;0.003281705259929459;
67;0.0035679599243469817;
68;0.0032101415938250778;
69;0.003608853447835199;
170;0.004467617441087768;
171;0.004232479681030517;
172;0.0038542145887645045;
173;0.0040382354444614835;
174;0.004150692634054082;
175;0.003608853447835199;
176;0.004017788682717374;
177;0.00400756530184532;
178;0.003976895159229157;
179;0.00442672391759955;
70;0.003506619639114655;
71;0.004416500536727496;
72;0.003741757399171906;
73;0.0033941624495220568;
74;0.0037519807800439607;
75;0.003598630066963145;
76;0.0033532689260338394;
77;0.0039666717783571025;
78;0.00442672391759955;
79;0.0038644379696365586;
180;0.0035781833052190358;
181;0.003792874303532178;
182;0.00417113939579819;
183;0.004058682206205593;
184;0.003987118540101212;
185;0.004344936870623115;
186;0.004058682206205593;
187;0.004181362776670245;
188;0.00451873434544804;
189;0.0038848847313806677;
80;0.0035884066860910903;
81;0.004058682206205593;
82;0.0037519807800439607;
83;0.004120022491437918;
84;0.004048458825333538;
85;0.004212032919286408;
86;0.0040382354444614835;
87;0.004079128967949701;
88;0.0038030976844042326;
89;0.004201809538414354;
190;0.00384399120789245;
191;0.003925778254868885;
192;0.004436947298471604;
193;0.003782650922660124;
194;0.003659970352195471;
195;0.0033532689260338394;
196;0.003762204160916015;
197;0.0037724275417880693;
198;0.0036293002095793077;
199;0.004293819966262843;
90;0.0037724275417880693;
91;0.004089352348821755;
92;0.003833767827020396;
93;0.00409957572969381;
94;0.003741757399171906;
95;0.0034861728773705465;
96;0.004017788682717374;
97;0.0036701937330675255;
98;0.003649746971323417;
99;0.0038030976844042326;
200;0.003987118540101212;
201;0.003598630066963145;
202;0.004130245872309973;
203;0.003762204160916015;
204;0.0032510351173132956;
205;0.004559627868936257;
206;0.00451873434544804;
207;0.0038030976844042326;
208;0.0035372897817308184;
209;0.003230588355569187;
210;0.003731534018299852;
211;0.004028012063589429;
212;0.004201809538414354;
213;0.00442672391759955;
214;0.004304043347134898;
215;0.0038848847313806677;
216;0.004344936870623115;
217;0.004539181107192148;
218;0.004068905587077646;
219;0.004048458825333538;
220;0.004252926442774626;
100;0.003465726115626438;
221;0.004222256300158462;
101;0.004201809538414354;
222;0.00409957572969381;
102;0.003976895159229157;
223;0.0038848847313806677;
103;0.003976895159229157;
224;0.004232479681030517;
104;0.003782650922660124;
225;0.004068905587077646;
105;0.003833767827020396;
226;0.0038542145887645045;
106;0.0040382354444614835;
227;0.004896999437714052;
107;0.004017788682717374;
228;0.003598630066963145;
108;0.004794765628993508;
229;0.0038235444461483413;
109;0.004559627868936257
